amount,is_active_call,is_foreign_call,is_screen_sharing,is_sim_changed_24h,nlp_coercion_score,is_fraud
40135.81,1,1,1,1,0.78,1
3126.54,0,0,0,0,0.09,0
2213.9,0,0,0,0,0.09,0
1617.77,0,0,0,0,0.13,0
3825.68,0,0,0,0,0.07,0
3994.1,0,0,0,0,0.18,0
5629.7,0,0,0,0,0.19,0
75815.69,1,1,1,0,0.9,1
2470.71,0,0,0,0,0.06,0
1763.77,0,0,0,0,0.04,0
1546.63,0,0,0,0,0.19,0
7234.78,0,0,0,0,0.1,0
1436.46,0,0,0,0,0.1,0
7029.71,0,0,0,0,0.07,0
7424.22,0,0,0,0,0.18,0
1709.76,0,0,0,0,0.07,0
2283.53,0,0,0,0,0.02,0
3619.99,0,0,0,0,0.11,0
31285.15,1,1,1,0,0.98,1
55838.27,1,1,1,0,0.96,1
1097.25,0,0,0,0,0.14,0
56003.92,1,1,1,0,0.95,1
74402.27,0,0,1,0,0.92,1
3074.44,0,0,0,0,0.0,0
85493.7,1,1,1,1,0.87,1
4252.79,0,0,0,0,0.16,0
2216.75,0,0,0,0,0.06,0
1764.42,0,0,0,0,0.17,0
1154.55,0,0,0,0,0.01,0
4949.92,0,0,0,0,0.01,0
2534.81,0,0,0,0,0.13,0
5396.97,0,0,0,0,0.08,0
1201.74,0,0,0,0,0.13,0
2822.75,0,0,0,0,0.16,0
7819.95,0,0,0,0,0.04,0
3498.34,0,0,0,0,0.1,0
87835.9,1,1,1,1,0.97,1
2289.65,0,0,0,0,0.19,0
1290.69,0,0,0,0,0.07,0
6668.09,0,0,0,0,0.03,0
5020.61,0,0,0,0,0.12,0
88338.56,1,1,1,0,0.76,1
566.45,0,0,0,0,0.09,0
2965.48,0,0,0,0,0.13,0
4319.51,0,0,0,0,0.19,0
10434.71,0,0,0,0,0.03,0
4000.02,0,0,0,0,0.16,0
954.2,0,0,0,0,0.04,0
2274.81,0,0,0,0,0.14,0
50093.31,1,1,1,0,0.95,1
6485.79,0,0,0,0,0.09,0
7096.35,0,0,0,0,0.08,0
494.4,0,0,0,0,0.17,0
1395.45,0,0,0,0,0.13,0
2117.87,0,0,0,0,0.0,0
25590.66,1,1,0,1,0.88,1
500.27,0,0,0,0,0.07,0
84123.7,0,0,1,0,0.91,1
4246.71,0,0,0,0,0.11,0
1214.47,0,0,0,0,0.03,0
1609.9,0,0,0,0,0.13,0
2223.06,0,0,0,0,0.12,0
28549.67,1,1,1,0,0.75,1
3324.59,0,0,0,0,0.01,0
30937.96,1,1,1,0,0.93,1
84481.4,1,1,0,0,0.94,1
3589.35,0,0,0,0,0.1,0
3304.96,0,0,0,0,0.14,0
3548.72,0,0,0,0,0.14,0
3769.52,0,0,0,0,0.17,0
2287.49,0,0,0,0,0.09,0
2175.13,0,0,0,0,0.16,0
2057.6,0,0,0,0,0.19,0
615.99,0,0,0,0,0.1,0
2048.88,0,0,0,0,0.02,0
1938.23,0,0,0,0,0.06,0
58319.99,1,1,0,0,0.77,1
1577.24,0,0,0,0,0.16,0
635.52,0,0,0,0,0.01,0
40707.83,1,1,1,0,0.84,1
9829.25,0,0,0,0,0.14,0
2456.67,0,0,0,0,0.08,0
1258.88,0,0,0,0,0.12,0
3799.02,0,0,0,0,0.01,0
44709.29,1,0,0,0,0.87,1
1998.93,0,0,0,0,0.09,0
54921.39,1,1,1,1,0.9,1
3036.04,0,0,0,0,0.06,0
1251.06,0,0,0,0,0.05,0
71829.69,1,0,1,0,0.95,1
1734.45,0,0,0,0,0.08,0
47552.33,1,1,0,0,0.9,1
2122.73,0,0,0,0,0.12,0
2686.65,0,0,0,0,0.08,0
66532.6,1,1,1,0,0.89,1
51596.87,1,1,1,0,0.87,1
5317.77,0,0,0,0,0.18,0
2598.75,0,0,0,0,0.13,0
3860.85,0,0,0,0,0.08,0
67010.15,1,1,0,1,0.93,1
797.12,0,0,0,0,0.19,0
5682.85,0,0,0,0,0.19,0
1662.52,0,0,0,0,0.14,0
3046.21,0,0,0,0,0.11,0
3862.64,0,0,0,0,0.15,0
3304.38,0,0,0,0,0.12,0
1914.74,0,0,0,0,0.08,0
602.6,0,0,0,0,0.11,0
2010.91,0,0,0,0,0.1,0
2196.75,0,0,0,0,0.03,0
3763.33,0,0,0,0,0.13,0
846.83,0,0,0,0,0.18,0
4584.93,0,0,0,0,0.06,0
30757.59,1,1,0,0,0.86,1
2605.38,0,0,0,0,0.1,0
1753.4,0,0,0,0,0.13,0
1972.35,0,0,0,0,0.01,0
7385.98,0,0,0,0,0.06,0
6238.9,0,0,0,0,0.1,0
81183.81,1,1,1,0,0.96,1
80790.99,1,0,1,0,0.91,1
2892.71,0,0,0,0,0.14,0
4440.15,0,0,0,0,0.16,0
7237.11,0,0,0,0,0.15,0
1779.2,0,0,0,0,0.2,0
711.74,0,0,0,0,0.19,0
2962.87,0,0,0,0,0.19,0
701.42,0,0,0,0,0.11,0
2918.36,0,0,0,0,0.02,0
1916.52,0,0,0,0,0.14,0
31780.35,1,1,1,1,0.92,1
75432.02,0,0,1,1,0.95,1
903.04,0,0,0,0,0.19,0
2842.01,0,0,0,0,0.2,0
4607.37,0,0,0,0,0.08,0
3504.78,0,0,0,0,0.13,0
31622.12,1,1,1,1,0.96,1
28205.08,0,0,0,0,0.81,1
86644.02,1,1,1,1,0.85,1
1491.67,0,0,0,0,0.14,0
4957.56,0,0,0,0,0.15,0
3743.72,0,0,0,0,0.03,0
82682.59,1,0,1,1,0.94,1
1246.83,0,0,0,0,0.1,0
1631.2,0,0,0,0,0.17,0
1549.05,0,0,0,0,0.09,0
5865.62,0,0,0,0,0.03,0
2578.71,0,0,0,0,0.1,0
5799.53,0,0,0,0,0.08,0
1330.43,0,0,0,0,0.11,0
